abbreviation,state,by_mail,online,in_person,link_to_register_online,link_to_register_by_mail,link_to_register_in_person,Additional Information,Source
AL,Alabama,10/19/2020,10/19/2020,10/19/2020,https://www.alabamainteractive.org/sos/voter_registration/voterRegistrationWelcome.action,https://sos.alabama.gov/sites/default/files/voter-pdfs/nvra-2.pdf,https://www.sos.alabama.gov/alabama-votes/voter/voter-registration,, 
AK,Alaska,10/4/2020,10/4/2020,10/4/2020,https://voterregistration.alaska.gov/Registration/RegistrationDetails?haveValidAKDL=true,https://www.elections.alaska.gov/Core/voterregistration.php,https://www.elections.alaska.gov/Core/contactusandsitemap.php,,
AZ,Arizona,10/5/2020,10/5/2020,10/5/2020,https://azsos.gov/elections/voting-election/register-vote-or-update-your-current-voter-information,https://azsos.gov/sites/default/files/voter_registration_form.pdf,https://azsos.gov/elections/voting-election/contact-information-county-election-officials,,
AR,Arkansas,10/4/2020,10/4/2020,10/4/2020,https://www.sos.arkansas.gov/elections/voter-information/voter-registration-information,https://www.sos.arkansas.gov/uploads/elections/ArkansasVoterRegistrationApplication.pdf,https://www.sos.arkansas.gov/elections/voter-information/voter-registration-information,,
CA,California,10/19/2020,10/19/20,11/3/2020,https://registertovote.ca.gov/,https://elections.cdn.sos.ca.gov/vote-by-mail/pdf/vote-by-mail-application.pdf,https://www.sos.ca.gov/elections/voter-registration/,,
CO,Colorado,10/26/2020,10/26/20,11/3/2020,https://www.sos.state.co.us/voter/pages/pub/olvr/verifyNewVoter.xhtml,https://www.sos.state.co.us/pubs/elections/vote/VoterRegFormEnglish.pdf,https://www.sos.state.co.us/pubs/elections/electionInfo.html?menuheaders=5,,
CT,Connecticut,10/27/2020,10/27/2020,11/3/2020,https://voterregistration.ct.gov/OLVR/welcome.do,https://portal.ct.gov/-/media/sots/ElectionServices/ElectForms/electforms/VoterRegCardEnglish2015pdf.pdf?la=en,https://portal.ct.gov/SOTS/Election-Services/V5-Side-Navigation/ELE---Voter-Information,,
DE,Delaware,10/10/2020,10/10/20,10/10/2020,https://ivote.de.gov/default.aspx,https://elections.delaware.gov/pubs/stateform.pdf,https://elections.delaware.gov/voter/votereg.shtml,,
DC,District of Columbia,10/13/20,10/13/20,11/3/2020,https://www.dcboe.org/Voters/Register-To-Vote/Register-to-Vote,https://www.dcboe.org/dcboe/media/PDFFiles/Mail_VRForm_eng.pdf,https://www.dcboe.org/FAQS/Voter-Registration,,
FL,Florida,10/5/2020,10/5/2020,10/5/2020,https://registertovoteflorida.gov/home,https://dos.myflorida.com/media/703485/dsde39-english-pre-7066-20200914.pdf,https://dos.myflorida.com/elections/for-voters/voter-registration/register-to-vote-or-update-your-information/,,
GA,Georgia,10/5/2020,10/5/2020,10/5/2020,https://registertovote.sos.ga.gov/GAOLVR/welcometoga.do#no-back-button,https://registertovote.sos.ga.gov/GAOLVR/images/reg_form.pdf,http://elections.sos.ga.gov/Elections/countyregistrars.do,,
